Port,,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15,
,P0_23,GPIO0_PIN23,MCLK,CT1_MAT2,CT3_MAT3,SCT0_OUT4,,SPIFI_CSN,,,,,,,,,,ADC0_IN11
,P0_24,GPIO0_PIN24,FC0_RXD_SDA_MOSI,SD_D0,CT2_CAP0,SCT0_GPI0,,SPIFI_IO0,,,,,,,,,,
,P0_25,GPIO0_PIN25,FC0_TXD_SCL_MISO,SD_D1,CT2_CAP1,SCT0_GPI1,,SPIFI_IO1,,,,,,,,,,
,P0_26,GPIO0_PIN26,FC2_RXD_SDA_MOSI,CLKOUT,CT3_CAP2,SCT0_OUT5,PDM0_CLK,SPIFI_CLK,USB0_IDVALUE,,,,,,,,,
,P0_27,GPIO0_PIN27,FC2_TXD_SCL_MISO,,CT3_MAT2,SCT0_OUT6,PDM0_DATA,SPIFI_IO3,,,,,,,,,,
,P0_28,GPIO0_PIN28,FC0_SCK,,CT2_CAP3,SCT0_OUT7,TRACEDATA3,SPIFI_IO2,USB0_OVERCURRENTN,,,,,,,,,
,P0_29,GPIO0_PIN29,FC0_RXD_SDA_MOSI,,CT2_MAT3,SCT0_OUT8,TRACEDATA2,,,,,,,,,,,
,P0_3,GPIO0_PIN3,FC3_RXD_SDA_MOSI,CT0_MAT1,SCT0_OUT1,SCT0_GPI3,,EMC_D1,,,,,,,,,,
,P0_30,GPIO0_PIN30,FC0_TXD_SCL_MISO,,CT0_MAT0,SCT0_OUT9,TRACEDATA1,,,,,,,,,,,
,P0_31,GPIO0_PIN31,FC0_CTS_SDA_SSEL0,SD_D2,CT0_MAT1,SCT0_OUT3,TRACEDATA0,,,,,,,,,,,ADC0_IN5
,P0_4,GPIO0_PIN4,CAN0_RD,FC4_SCK,CT3_CAP0,SCT0_GPI4,,EMC_D2,ENET_MDC,,,,,ISP0,,,,
,P0_5,GPIO0_PIN5,CAN0_TD,FC4_RXD_SDA_MOSI,CT3_MAT0,SCT0_GPI5,,EMC_D3,ENET_MDIO,,,,,ISP1,,,,
,P0_6,GPIO0_PIN6,FC3_SCK,CT3_CAP1,CT4_MAT0,SCT0_GPI6,,EMC_D4,ENET_RX_DV,,,,,ISP2,,,,
,P0_7,GPIO0_PIN7,FC3_RTS_SCL_SSEL1,SD_CLK,FC5_SCK,FC1_SCK,PDM1_CLK,EMC_D5,ENET_RX_CLK,,,,,,,,,
,P0_8,GPIO0_PIN8,FC3_SSEL3,SD_CMD,FC5_RXD_SDA_MOSI,SWO,PDM1_DATA,EMC_D6,,,,,,,,,,
,P0_9,GPIO0_PIN9,FC3_SSEL2,SD_POW_EN,FC5_TXD_SCL_MISO,,SCI1_IO,EMC_D7,,,,,,,,,,
,P1_0,GPIO1_PIN0,FC0_RTS_SCL_SSEL1,SD_D3,CT0_CAP2,SCT0_GPI4,TRACECLK,,,,,,,,,,,ADC0_IN6
,P1_1,GPIO1_PIN1,FC3_RXD_SDA_MOSI,,CT0_CAP3,SCT0_GPI5,,,USB1_OVERCURRENTN,,,,,,,,,
,P1_10,GPIO1_PIN10,ENET_TXD1,FC1_RXD_SDA_MOSI,CT1_MAT0,SCT0_OUT3,,EMC_RASN,,,,,,,,,,
,P1_11,GPIO1_PIN11,ENET_TX_EN,FC1_TXD_SCL_MISO,CT1_CAP1,USB0_VBUS,,EMC_CLK0,,,,,,,,,,
,P1_12,GPIO1_PIN12,ENET_RXD0,FC6_SCK,CT1_MAT1,USB0_PORTPWRN,,EMC_DYCSN0,,,,,,,,,,
,P1_13,GPIO1_PIN13,ENET_RXD1,FC6_RXD_SDA_MOSI_DATA,CT1_CAP2,USB0_OVERCURRNTN,USB0_FRAME,EMC_DQM0,,,,,,,,,,
,P1_14,GPIO1_PIN14,ENET_RX_DV,UTICK_CAP2,CT1_MAT2,FC5_CTS_SDA_SSEL0,USB0_LEDN,EMC_DQM1,,,,,,,,,,
,P1_15,GPIO1_PIN15,ENET_RX_CLK,UTICK_CAP3,CT1_CAP3,FC5_RTS_SCL_SSEL1,FC4_RTS_SCL_SSEL1,EMC_CKE0,,,,,,,,,,
,P1_16,GPIO1_PIN16,ENET_MDC,FC6_TXD_SCL_MISO_WS,CT1_MAT3,SD_CMD,,EMC_A10,,,,,,,,,,
,P1_17,GPIO1_PIN17,ENET_MDIO,FC8_RXD_SDA_MOSI,,SCT0_OUT4,CAN1_TD,EMC_BLSN0,,,,,,,,,,
,P1_18,GPIO1_PIN18,,FC8_TXD_SCL_MISO,,SCT0_OUT5,CAN1_RD,EMC_BLSN1,,,,,,,,,,
,P1_19,GPIO1_PIN19,FC8_SCK,SCT0_OUT7,CT3_MAT1,SCT0_GPI7,FC4_SCK,EMC_D8,,,,,,,,,,
,P1_2,GPIO1_PIN2,CAN0_TD,,CT0_MAT3,SCT0_GPI6,PDM1_CLK,,USB1_PORTPWRN,,,,,,,,,
,P1_20,GPIO1_PIN20,FC7_RTS_SCL_SSEL1,,CT3_CAP2,,FC4_TXD_SCL_MISO,EMC_D9,,,,,,,,,,
,P1_21,GPIO1_PIN21,FC7_CTS_SDA_SSEL0,,CT3_MAT2,,FC4_RXD_SDA_MOSI,EMC_D10,,,,,,,,,,
,P1_22,GPIO1_PIN22,FC8_RTS_SCL_SSEL1,SD_CMD,CT2_MAT3,SCT0_GPI5,FC4_SSEL3,EMC_CKE1,,,,,,,,,,
,P1_23,GPIO1_PIN23,FC2_SCK,SCT0_OUT0,,ENET_MDIO,FC3_SSEL2,EMC_A11,,,,,,,,,,
,P1_24,GPIO1_PIN24,FC2_RXD_SDA_MOSI,SCT0_OUT1,,,FC3_SSEL3,EMC_A12,,,,,,,,,,
,P1_25,GPIO1_PIN25,FC2_TXD_SCL_MISO,SCT0_OUT2,,UTICK_CAP0,,EMC_A13,,,,,,,,,,
,P1_26,GPIO1_PIN26,FC2_CTS_SDA_SSEL0,SCT0_OUT3,CT0_CAP3,UTICK_CAP1,,EMC_A8,,,,,,,,,,
,P1_27,GPIO1_PIN27,FC2_RTS_SCL_SSEL1,SD_D4,CT0_MAT3,CLKOUT,,EMC_A9,,,,,,,,,,
,P1_28,GPIO1_PIN28,FC7_SCK,SD_D5,CT0_CAP2,,,EMC_D12,,,,,,,,,,
,P1_29,GPIO1_PIN29,FC7_RXD_SDA_MOSI_DATA,SD_D6,SCT0_GPI6,USB1_PORTPWRN,USB1_FRAME,EMC_D13,,,,,,,,,,
,P1_3,GPIO1_PIN3,CAN0_RD,,,SCT0_OUT4,PDM1_DATA,,USB0_PORTPWRN,,,,,,,,,
,P1_30,GPIO1_PIN30,FC7_TXD_SCL_MISO_WS,SD_D7,SCT0_GPI7,USB1_OVERCURRENTN,USB1_LEDN,EMC_D14,,,,,,,,,,
,P1_31,GPIO1_PIN31,MCLK,,CT0_MAT2,SCT0_OUT6,FC8_CTS_SDA_SSEL0,EMC_D15,,,,,,,,,,
,P1_4,GPIO1_PIN4,FC0_SCK,SD_D0,CT2_MAT1,SCT0_OUT0,FREQME_GPIO_CLK_A,EMC_D11,,,,,,,,,,
,P1_5,GPIO1_PIN5,FC0_RXD_SDA_MOSI,SD_D2,CT2_MAT0,SCT0_GPI0,,EMC_A4,,,,,,,,,,
,P1_6,GPIO1_PIN6,FC0_TXD_SCL_MISO,SD_D3,CT2_MAT1,SCT0_GPI3,,EMC_A5,,,,,,,,,,
,P1_7,GPIO1_PIN7,FC0_RTS_SCL_SSEL1,SD_D1,CT2_MAT2,SCT0_GPI4,,EMC_A6,,,,,,,,,,
,P1_8,GPIO1_PIN8,FC0_CTS_SDA_SSEL0,SD_CLK,,SCT0_OUT1,FC4_SSEL2,EMC_A7,,,,,,,,,,
,P1_9,GPIO1_PIN9,ENET_TXD0,FC1_SCK,CT1_CAP0,SCT0_OUT2,FC4_CTS_SDA_SSEL0,EMC_CASN,,,,,,,,,,
,P2_0,GPIO2_PIN0,,FC0_RXD_SDA_MOSI,,CT1_CAP0,,,,,,,,,,,,ADC0_IN7
,P2_1,GPIO2_PIN1,,FC0_TXD_SCL_MISO,,CT1_MAT0,,,,,,,,,,,,ADC0_IN8
,P2_10,GPIO2_PIN10,ENET_RX_ER,SD_CARD_DET_N,,,,,,,,,,,,,,
,P2_11,GPIO2_PIN11,LCD_PWR,SD_VOLT0,,,FC5_SCK,,,,,,,,,,,
,P2_12,GPIO2_PIN12,LCD_LE,SD_VOLT1,USB0_IDVALUE,,FC5_RXD_SDA_MOSI,,,,,,,,,,,
,P2_13,GPIO2_PIN13,LCD_DCLK,SD_VOLT2,,,FC5_TXD_SCL_MISO,,,,,,,,,,,
,P2_14,GPIO2_PIN14,LCD_FP,USB0_FRAME,USB0_PORTPWRN,CT0_MAT2,FC5_CTS_SDA_SSEL0,,,,,,,,,,,
,P2_15,GPIO2_PIN15,LCD_AC,USB0_LEDN,USB0_OVERCURRENTN,CT0_MAT3,FC5_RTS_SCL_SSEL1,,,,,,,,,,,
,P2_16,GPIO2_PIN16,LCD_LP,USB1_FRAME,USB1_PORTPWRN,CT1_MAT3,FC8_SCK,,,,,,,,,,,
,P2_17,GPIO2_PIN17,LCD_CLKIN,USB1_LEDN,USB1_OVERCURRENTN,CT1_CAP1,FC8_RXD_SDA_MOSI,,,,,,,,,,,
,P2_18,GPIO2_PIN18,LCD_VD0,FC3_RXD_SDA_MOSI,FC7_SCK,CT3_MAT0,,,,,,,,,,,,
,P2_19,GPIO2_PIN19,LCD_VD1,FC3_TXD_SCL_MISO,FC7_RXD_SDA_MOSI_DATA,CT3_MAT1,,,,,,,,,,,,
,P2_2,GPIO2_PIN2,ENET_CRS,FC3_SSEL3,SCT0_OUT6,CT1_MAT1,,,,,,,,,,,,
,P2_20,GPIO2_PIN20,LCD_VD2,FC3_RTS_SCL_SSEL1,FC7_TXD_SCL_MISO_WS,CT3_MAT2,CT4_CAP0,,,,,,,,,,,
,P2_21,GPIO2_PIN21,LCD_VD3,FC3_CTS_SDA_SSEL0,MCLK,CT3_MAT3,,,,,,,,,,,,
,P2_22,GPIO2_PIN22,LCD_VD4,SCT0_OUT7,,CT2_CAP0,,,,,,,,,,,,
,P2_23,GPIO2_PIN23,LCD_VD5,SCT0_OUT8,,,,,,,,,,,,,,
,P2_24,GPIO2_PIN24,LCD_VD6,SCT0_OUT9,,,,,,,,,,,,,,
,P2_25,GPIO2_PIN25,LCD_VD7,USB0_VBUS,,,,,,,,,,,,,,
,P2_26,GPIO2_PIN26,LCD_VD8,,FC3_SCK,CT2_CAP1,,,,,,,,,,,,
,P2_27,GPIO2_PIN27,LCD_VD9,FC9_SCK,FC3_SSEL2,,,,,,,,,,,,,
,P2_28,GPIO2_PIN28,LCD_VD10,FC7_CTS_SDA_SSEL0,,CT2_CAP2,,,,,,,,,,,,
,P2_29,GPIO2_PIN29,LCD_VD11,FC7_RTS_SCL_SSEL1,FC8_TXD_SCL_MISO,CT2_CAP3,CLKOUT,,,,,,,,,,,
,P2_3,GPIO2_PIN3,ENET_TXD2,SD_CLK,FC1_RXD_SDA_MOSI,CT2_MAT0,,,,,,,,,,,,
,P2_30,GPIO2_PIN30,LCD_VD12,,,CT2_MAT2,,,,,,,,,,,,
,P2_31,GPIO2_PIN31,LCD_VD13,,,,,,,,,,,,,,,
,P2_4,GPIO2_PIN4,ENET_TXD3,SD_CMD,FC1_TXD_SCL_MISO,CT2_MAT1,,,,,,,,,,,,
,P2_5,GPIO2_PIN5,ENET_TX_ER,SD_POW_EN,FC1_CTS_SDA_SSEL0,CT1_MAT2,,,,,,,,,,,,
,P2_6,GPIO2_PIN6,ENET_TX_CLK,SD_D0,FC1_RTS_SCL_SSEL1,CT0_CAP0,,,,,,,,,,,,
,P2_7,GPIO2_PIN7,ENET_COL,SD_D1,FREQME_GPIO_CLK_B,CT0_CAP1,,,,,,,,,,,,
,P2_8,GPIO2_PIN8,ENET_RXD2,SD_D2,,CT0_MAT0,,,,,,,,,,,,
,P2_9,GPIO2_PIN9,ENET_RXD3,SD_D3,,CT0_MAT1,,,,,,,,,,,,
,P3_0,GPIO3_PIN0,LCD_VD14,PDM0_CLK,,CT1_MAT0,,,,,,,,,,,,
,P3_1,GPIO3_PIN1,LCD_VD15,PDM0_DATA,,CT1_MAT1,,,,,,,,,,,,
,P3_10,GPIO3_PIN10,SCT0_OUT3,,CT3_MAT0,,,EMC_DYCSN1,TRACEDATA0,,,,,,,,,
,P3_11,GPIO3_PIN11,MCLK,FC0_SCK,FC1_SCK,,,,TRACEDATA3,,,,,,,,,
,P3_12,GPIO3_PIN12,SCT0_OUT8,,CT3_CAP0,,CLKOUT,EMC_CLK1,TRACECLK,,,,,,,,,
,P3_13,GPIO3_PIN13,SCT0_OUT9,FC9_CTS_SDA_SSEL0,CT3_CAP1,,,EMC_FBCK,TRACEDATA1,,,,,,,,,
,P3_14,GPIO3_PIN14,SCT0_OUT4,FC9_RTS_SCL_SSEL1,CT3_MAT1,,,,TRACEDATA2,,,,,,,,,
,P3_15,GPIO3_PIN15,FC8_SCK,SD_WR_PRT,,,,,,,,,,,,,,
,P3_16,GPIO3_PIN16,FC8_RXD_SDA_MOSI,SD_D4,,,,,,,,,,,,,,
,P3_17,GPIO3_PIN17,FC8_TXD_SCL_MISO,SD_D5,,,,,,,,,,,,,,
,P3_18,GPIO3_PIN18,FC8_CTS_SDA_SSEL0,SD_D6,CT4_MAT0,CAN0_TD,SCT0_OUT5,,,,,,,,,,,
,P3_19,GPIO3_PIN19,FC8_RTS_SCL_SSEL1,SD_D7,CT4_MAT1,CAN0_RD,SCT0_OUT6,,,,,,,,,,,
,P3_2,GPIO3_PIN2,LCD_VD16,FC9_RXD_SDA_MOSI,,CT1_MAT2,,,,,,,,,,,,
,P3_20,GPIO3_PIN20,FC9_SCK,SD_CARD_INT_N,CLKOUT,,SCT0_OUT7,,,,,,,,,,,
,P3_21,GPIO3_PIN21,FC9_RXD_SDA_MOSI,SD_BACKEND_PWR,CT4_MAT3,UTICK_CAP2,,,,,,,,,,,,ADC0_IN9
,P3_22,GPIO3_PIN22,FC9_TXD_SCL_MISO,,,,,,,,,,,,,,,ADC0_IN10
,P3_23,GPIO3_PIN23,FC2_CTS_SDA_SSEL0,,UTICK_CAP3,,,,,,,,,,,,,
,P3_24,GPIO3_PIN24,FC2_RTS_SCL_SSEL1,CT4_CAP0,USB0_VBUS,,,,,,,,,,,,,
,P3_25,GPIO3_PIN25,,CT4_CAP2,FC4_SCK,,,EMC_A14,,,,,,,,,,
,P3_26,GPIO3_PIN26,,SCT0_OUT0,FC4_RXD_SDA_MOSI,,,EMC_A15,,,,,,,,,,
,P3_27,GPIO3_PIN27,,SCT0_OUT1,FC4_TXD_SCL_MISO,,,EMC_A16,,,,,,,,,,
,P3_28,GPIO3_PIN28,,SCT0_OUT2,FC4_CTS_SDA_SSEL0,,,EMC_A17,,,,,,,,,,
,P3_29,GPIO3_PIN29,,SCT0_OUT3,FC4_RTS_SCL_SSEL1,,,EMC_A18,,,,,,,,,,
,P3_3,GPIO3_PIN3,LCD_VD17,FC9_TXD_SCL_MISO,,,,,,,,,,,,,,
,P3_30,GPIO3_PIN30,FC9_CTS_SDA_SSEL0,SCT0_OUT4,FC4_SSEL2,,,EMC_A19,,,,,,,,,,
,P3_31,GPIO3_PIN31,FC9_RTS_SCL_SSEL1,SCT0_OUT5,CT4_MAT2,,SCT0_GPI0,EMC_A20,,,,,,,,,,
,P3_4,GPIO3_PIN4,LCD_VD18,,FC8_CTS_SDA_SSEL0,CT4_CAP1,,,,,,,,,,,,
,P3_5,GPIO3_PIN5,LCD_VD19,,FC8_RTS_SCL_SSEL1,CT4_MAT1,,,,,,,,,,,,
,P3_6,GPIO3_PIN6,LCD_VD20,LCD_VD0,,CT4_MAT2,,,,,,,,,,,,
,P3_7,GPIO3_PIN7,LCD_VD21,LCD_VD1,,CT4_CAP2,,,,,,,,,,,,
,P3_8,GPIO3_PIN8,LCD_VD22,LCD_VD2,,CT4_CAP3,,,,,,,,,,,,
,P3_9,GPIO3_PIN9,LCD_VD23,LCD_VD3,,CT0_CAP2,,,,,,,,,,,,
,P4_0,GPIO4_PIN0,,FC6_CTS_SDA_SSEL0,CT4_CAP1,,SCT0_GPI1,EMC_CSN1,,,,,,,,,,
,P4_1,GPIO4_PIN1,,FC6_SCK,,,SCT0_GPI2,EMC_CSN2,,,,,,,,,,
,P4_10,GPIO4_PIN10,ENET_RX_DV,FC2_TXD_SCL_MISO,USB1_OVERCURRENTN,USB1_LEDN,SCT0_GPI3,,,,,,,,,,,
,P4_11,GPIO4_PIN11,ENET_RXD0,FC2_CTS_SDA_SSEL0,USB0_IDVALUE,,SCT0_GPI4,,,,,,,,,,,
,P4_12,GPIO4_PIN12,ENET_RXD1,FC2_RTS_SCL_SSEL1,,,SCT0_GPI5,,,,,,,,,,,
,P4_13,GPIO4_PIN13,ENET_TX_EN,CT4_MAT0,,,SCT0_GPI6,,,,,,,,,,,
,P4_14,GPIO4_PIN14,ENET_RX_CLK,CT4_MAT1,FC9_SCK,,SCT0_GPI7,,,,,,,,,,,
,P4_15,GPIO4_PIN15,ENET_MDC,CT4_MAT2,FC9_RXD_SDA_MOSI,,,,,,,,,,,,,
,P4_16,GPIO4_PIN16,ENET_MDIO,CT4_MAT3,FC9_TXD_SCL_MISO,,,,,,,,,,,,,
,P4_17,GPIO4_PIN17,,CAN1_TD,CT1_CAP2,UTICK_CAP0,,EMC_BLSN2,,,,,,,,,,
,P4_18,GPIO4_PIN18,,CAN1_RD,CT1_CAP3,UTICK_CAP1,,EMC_BLSN3,,,,,,,,,,
,P4_19,GPIO4_PIN19,ENET_TXD0,SD_CLK,FC2_SCK,CT4_CAP2,,EMC_DQM2,,,,,,,,,,
,P4_2,GPIO4_PIN2,,FC6_RXD_SDA_MOSI_DATA,,,SCT0_GPI3,EMC_CSN3,,,,,,,,,,
,P4_20,GPIO4_PIN20,ENET_TXD1,SD_CMD,FC2_RXD_SDA_MOSI,CT4_CAP3,,EMC_DQM3,,,,,,,,,,
,P4_21,GPIO4_PIN21,ENET_TXD2,SD_POW_EN,FC2_TXD_SCL_MISO,CT2_MAT3,,EMC_D16,,,,,,,,,,
,P4_22,GPIO4_PIN22,ENET_TXD3,SD_CARD_DET_N,FC2_RTS_SCL_SSEL1,CT1_MAT3,,EMC_D17,,,,,,,,,,
,P4_23,GPIO4_PIN23,ENET_RXD0,SD_WR_PRT,FC2_CTS_SDA_SSEL0,,CT1_MAT0,EMC_D18,,,,,,,,,,
,P4_24,GPIO4_PIN24,ENET_RXD1,SD_CARD_INT_N,FC7_RTS_SCL_SSEL1,,CT1_MAT1,EMC_D19,,,,,,,,,,
,P4_25,GPIO4_PIN25,ENET_RXD2,SD_D0,FC7_CTS_SDA_SSEL0,,CT1_MAT2,EMC_D20,,,,,,,,,,
,P4_26,GPIO4_PIN26,ENET_RXD3,SD_D1,,UTICK_CAP2,CT1_MAT3,EMC_D21,,,,,,,,,,
,P4_27,GPIO4_PIN27,ENET_TX_EN,SD_D2,,FC1_SCK,CT1_CAP0,EMC_D22,,,,,,,,,,
,P4_28,GPIO4_PIN28,ENET_TX_ER,SD_D3,,FC1_RXD_SDA_MOSI,CT1_CAP1,EMC_D23,,,,,,,,,,
,P4_29,GPIO4_PIN29,ENET_RX_ER,SD_D4,,FC1_TXD_SCL_MISO,CT1_CAP2,EMC_D24,,,,,,,,,,
,P4_3,GPIO4_PIN3,,FC6_TXD_SCL_MISO_WS,CT0_CAP3,,SCT0_GPI4,EMC_DYCSN2,,,,,,,,,,
,P4_30,GPIO4_PIN30,ENET_TX_CLK,SD_D5,CT3_MAT0,FC1_RTS_SCL_SSEL1,CT1_CAP3,EMC_D25,,,,,,,,,,
,P4_31,GPIO4_PIN31,ENET_RX_CLK,SD_D6,CT3_MAT1,FC4_SCK,,EMC_D26,,,,,,,,,,
,P4_4,GPIO4_PIN4,,FC4_SSEL3,FC0_RTS_SCL_SSEL1,,SCT0_GPI5,EMC_DYCSN3,,,,,,,,,,
,P4_5,GPIO4_PIN5,,FC9_CTS_SDA_SSEL0,FC0_CTS_SDA_SSEL0,CT4_MAT3,SCT0_GPI6,EMC_CKE2,,,,,,,,,,
,P4_6,GPIO4_PIN6,,FC9_RTS_SCL_SSEL1,,,SCT0_GPI7,EMC_CKE3,,,,,,,,,,
,P4_7,GPIO4_PIN7,,CT4_CAP3,USB0_PORTPWRN,USB0_FRAME,SCT0_GPI0,,,,,,,,,,,
,P4_8,GPIO4_PIN8,ENET_TXD0,FC2_SCK,USB0_OVERCURRENTN,USB0_LEDN,SCT0_GPI1,,,,,,,,,,,
,P4_9,GPIO4_PIN9,ENET_TXD1,FC2_RXD_SDA_MOSI,USB1_PORTPWRN,USB1_FRAME,SCT0_GPI2,,,,,,,,,,,
,P5_0,GPIO5_PIN0,ENET_RX_DV,SD_D7,CT3_MAT2,FC4_RXD_SDA_MOSI,,EMC_D27,,,,,,,,,,
,P5_1,GPIO5_PIN1,ENET_CRS,SD_VOLT0,CT3_MAT3,FC4_TXD_SCL_MISO,,EMC_D28,,,,,,,,,,
,P5_10,GPIO5_PIN10,SCT0_GPI5,,FC5_RTS_SCL_SSEL1,SCT0_OUT9,UTICK_CAP3,,,,,,,,,,,
,P5_2,GPIO5_PIN2,ENET_COL,SD_VOLT1,CT3_CAP0,FC4_CTS_SDA_SSEL0,,EMC_D29,,,,,,,,,,
,P5_3,GPIO5_PIN3,ENET_MDC,SD_VOLT2,CT3_CAP1,FC4_RTS_SCL_SSEL1,,EMC_D30,,,,,,,,,,
,P5_4,GPIO5_PIN4,ENET_MDIO,SD_BACKEND_PWR,CT3_CAP2,FC4_SSEL2,,EMC_D31,,,,,,,,,,
,P5_5,GPIO5_PIN5,SCT0_GPI0,PDM1_CLK,CT3_CAP3,FC4_SSEL3,TRACECLK,EMC_A21,,,,,,,,,,
