Port,,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15,
,P3_1,GPIO3_PIN1,LCD_VD15,PDM0_DATA,,CT1_MAT1,,,,,,,,,,,,
,P3_10,GPIO3_PIN10,SCT0_OUT3,,CT3_MAT0,,,EMC_DYCSN1,TRACEDATA0,,,,,,,,,
,P3_11,GPIO3_PIN11,MCLK,FC0_SCK,FC1_SCK,,,,TRACEDATA3,,,,,,,,,
,P3_12,GPIO3_PIN12,SCT0_OUT8,,CT3_CAP0,,CLKOUT,EMC_CLK1,TRACECLK,,,,,,,,,
,P3_14,GPIO3_PIN14,SCT0_OUT4,FC9_RTS_SCL_SSEL1,CT3_MAT1,,,,TRACEDATA2,,,,,,,,,
,P3_16,GPIO3_PIN16,FC8_RXD_SDA_MOSI,SD_D4,,,,,,,,,,,,,,
,P3_17,GPIO3_PIN17,FC8_TXD_SCL_MISO,SD_D5,,,,,,,,,,,,,,
,P3_18,GPIO3_PIN18,FC8_CTS_SDA_SSEL0,SD_D6,CT4_MAT0,CAN0_TD,SCT0_OUT5,,,,,,,,,,,
,P3_19,GPIO3_PIN19,FC8_RTS_SCL_SSEL1,SD_D7,CT4_MAT1,CAN0_RD,SCT0_OUT6,,,,,,,,,,,
,P3_2,GPIO3_PIN2,LCD_VD16,FC9_RXD_SDA_MOSI,,CT1_MAT2,,,,,,,,,,,,
,P3_20,GPIO3_PIN20,FC9_SCK,SD_CARD_INT_N,CLKOUT,,SCT0_OUT7,,,,,,,,,,,
,P3_21,GPIO3_PIN21,FC9_RXD_SDA_MOSI,SD_BACKEND_PWR,CT4_MAT3,UTICK_CAP2,,,,,,,,,,,,ADC0_IN9
,P3_22,GPIO3_PIN22,FC9_TXD_SCL_MISO,,,,,,,,,,,,,,,ADC0_IN10
,P3_23,GPIO3_PIN23,FC2_CTS_SDA_SSEL0,,UTICK_CAP3,,,,,,,,,,,,,
,P3_24,GPIO3_PIN24,FC2_RTS_SCL_SSEL1,CT4_CAP0,USB0_VBUS,,,,,,,,,,,,,
,P3_26,GPIO3_PIN26,,SCT0_OUT0,FC4_RXD_SDA_MOSI,,,EMC_A15,,,,,,,,,,
,P3_27,GPIO3_PIN27,,SCT0_OUT1,FC4_TXD_SCL_MISO,,,EMC_A16,,,,,,,,,,
,P3_28,GPIO3_PIN28,,SCT0_OUT2,FC4_CTS_SDA_SSEL0,,,EMC_A17,,,,,,,,,,
,P3_29,GPIO3_PIN29,,SCT0_OUT3,FC4_RTS_SCL_SSEL1,,,EMC_A18,,,,,,,,,,
,P3_3,GPIO3_PIN3,LCD_VD17,FC9_TXD_SCL_MISO,,,,,,,,,,,,,,
,P3_30,GPIO3_PIN30,FC9_CTS_SDA_SSEL0,SCT0_OUT4,FC4_SSEL2,,,EMC_A19,,,,,,,,,,
,P4_1,GPIO4_PIN1,,FC6_SCK,,,SCT0_GPI2,EMC_CSN2,,,,,,,,,,
,P4_2,GPIO4_PIN2,,FC6_RXD_SDA_MOSI_DATA,,,SCT0_GPI3,EMC_CSN3,,,,,,,,,,
,P4_3,GPIO4_PIN3,,FC6_TXD_SCL_MISO_WS,CT0_CAP3,,SCT0_GPI4,EMC_DYCSN2,,,,,,,,,,
,P4_4,GPIO4_PIN4,,FC4_SSEL3,FC0_RTS_SCL_SSEL1,,SCT0_GPI5,EMC_DYCSN3,,,,,,,,,,
,P4_5,GPIO4_PIN5,,FC9_CTS_SDA_SSEL0,FC0_CTS_SDA_SSEL0,CT4_MAT3,SCT0_GPI6,EMC_CKE2,,,,,,,,,,
,P4_6,GPIO4_PIN6,,FC9_RTS_SCL_SSEL1,,,SCT0_GPI7,EMC_CKE3,,,,,,,,,,
,P4_7,GPIO4_PIN7,,CT4_CAP3,USB0_PORTPWRN,USB0_FRAME,SCT0_GPI0,,,,,,,,,,,
