PORT,NAME,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15,ADC1,ADC2,ADC3,ACMP
,AD_B1_06,USDHC1_RESET_B,FLEXPWM1_PWMA0,LPUART2_CTS_B,SAI1_RX_BCLK,FLEXIO1_FLEXIO9,GPIO1_PIN22,LPSPI1_PCS3,KPP_COL7,LPSPI1_PCS3,KPP_COL7,,,,,,,ADC1_IN6,ADC2_IN6,,ACMP3_IN3
,AD_B1_07,USDHC1_VSELECT,FLEXPWM1_PWMB0,LPUART2_RTS_B,SAI1_TX_DATA1,FLEXIO1_FLEXIO8,GPIO1_PIN23,LPSPI3_PCS3,KPP_ROW7,LPSPI3_PCS3,KPP_ROW7,,,,,,,ADC1_IN7,ADC2_IN7,,ACMP4_IN3
,AD_B1_08,LPI2C2_SCL,FLEXPWM1_PWMA1,LPUART2_TX,SAI1_TX_DATA2,FLEXIO1_FLEXIO7,GPIO1_PIN24,LPSPI3_PCS2,XBAR1_XBAR_INOUT12,LPSPI3_PCS2,XBAR1_XBAR_INOUT12,,,,,,,ADC1_IN8,ADC2_IN8,,ACMP1_IN5
,AD_B1_09,LPI2C2_SDA,FLEXPWM1_PWMB1,LPUART2_RX,SAI1_TX_DATA3,FLEXIO1_FLEXIO6,GPIO1_PIN25,LPSPI3_PCS1,XBAR1_XBAR_INOUT13,LPSPI3_PCS1,XBAR1_XBAR_INOUT13,,,,,,,ADC1_IN9,ADC2_IN9,,ACMP2_IN5
,AD_B1_10,USB_OTG1_PWR,FLEXPWM1_PWMA2,LPUART4_TX,USDHC1_CD_B,FLEXIO1_FLEXIO5,GPIO1_PIN26,GPT2_CAPTURE1,TPSMP_HDATA5,GPT2_CAPTURE1,TPSMP_HDATA5,,,,,,,ADC1_IN10,ADC2_IN10,,ACMP3_IN5
,AD_B1_11,ANATOP_OTG1_ID,FLEXPWM1_PWMB2,LPUART4_RX,USDHC1_WP,FLEXIO1_FLEXIO4,GPIO1_PIN27,GPT2_COMPARE1,TPSMP_HDATA4,GPT2_COMPARE1,TPSMP_HDATA4,,,,,,,ADC1_IN11,ADC2_IN11,,ACMP4_IN5
,AD_B1_12,USB_OTG1_OC,ACMP_OUT0,LPSPI3_SCK,USDHC2_CD_B,FLEXIO1_FLEXIO3,GPIO1_PIN28,FLEXPWM1_PWMA3,TPSMP_HDATA3,FLEXPWM1_PWMA3,TPSMP_HDATA3,,,,,,,ADC1_IN12,ADC2_IN12,,ACMP1_IN6
,AD_B1_13,LPI2C1_HREQ,ACMP_OUT1,LPSPI3_PCS0,USDHC2_WP,FLEXIO1_FLEXIO2,GPIO1_PIN29,FLEXPWM1_PWMB3,TPSMP_HDATA2,FLEXPWM1_PWMB3,TPSMP_HDATA2,,,,,,,ADC1_IN13,ADC2_IN13,,ACMP2_IN6
,AD_B1_14,LPI2C1_SCL,ACMP_OUT2,LPSPI3_SDO,ENET_1588_EVENT0_OUT,FLEXIO1_FLEXIO1,GPIO1_PIN30,CCM_OUT2,TPSMP_HDATA1,CCM_OUT2,TPSMP_HDATA1,,,,,,,ADC1_IN14,ADC2_IN14,,ACMP3_IN6
,AD_B1_15,LPI2C1_SDA,ACMP_OUT3,LPSPI3_SDI,ENET_1588_EVENT0_IN,FLEXIO1_FLEXIO0,GPIO1_PIN31,CCM_DI0_EXT_CLK,TPSMP_HDATA0,CCM_DI0_EXT_CLK,TPSMP_HDATA0,,,,,,,ADC1_IN15,ADC2_IN15,,ACMP4_IN6
,EMC_00,SEMC_DATA0,QTIMER2_TIMER0,LPUART4_CTS_B,SPDIF_SR_CLK,LPSPI2_SCK,GPIO2_PIN0,FLEXCAN1_TX,PIT_TRIGGER2,FLEXCAN1_TX,PIT_TRIGGER2,,,,,,,,,,
,EMC_01,SEMC_DATA1,QTIMER2_TIMER1,LPUART4_RTS_B,SPDIF_OUT,LPSPI2_PCS0,GPIO2_PIN1,FLEXCAN1_RX,PIT_TRIGGER3,FLEXCAN1_RX,PIT_TRIGGER3,,,,,,,,,,
,EMC_02,SEMC_DATA2,QTIMER2_TIMER2,LPUART4_TX,SPDIF_LOCK,LPSPI2_SDO,GPIO2_PIN2,LPI2C1_SCL,SJC_DONE,LPI2C1_SCL,SJC_DONE,,,,,,,,,,
,EMC_03,SEMC_DATA3,QTIMER2_TIMER3,LPUART4_RX,SPDIF_EXT_CLK,LPSPI2_SDI,GPIO2_PIN3,LPI2C1_SDA,SJC_FAIL,LPI2C1_SDA,SJC_FAIL,,,,,,,,,,
,EMC_04,SEMC_DATA4,XBAR1_XBAR_INOUT4,SPDIF_OUT,SAI2_TX_BCLK,FLEXIO1_FLEXIO16,GPIO2_PIN4,ANATOP_USBPHY1_TSTO_PLL_CLK20DIV,SJC_JTAG_ACT,ANATOP_USBPHY1_TSTO_PLL_CLK20DIV,SJC_JTAG_ACT,,,,,,,,,,
,EMC_05,SEMC_DATA5,XBAR1_XBAR_INOUT5,SPDIF_IN,SAI2_TX_SYNC,FLEXIO1_FLEXIO17,GPIO2_PIN5,ANATOP_USBPHY1_TSTI_TX_HS_MODE,SJC_DE_B,ANATOP_USBPHY1_TSTI_TX_HS_MODE,SJC_DE_B,,,,,,,,,,
,EMC_06,SEMC_DATA6,XBAR1_XBAR_INOUT6,LPUART3_TX,SAI2_TX_DATA,FLEXIO1_FLEXIO18,GPIO2_PIN6,ANATOP_USBPHY1_TSTI_TX_DN,TPSMP_HTRANS0,ANATOP_USBPHY1_TSTI_TX_DN,TPSMP_HTRANS0,,,,,,,,,,
,EMC_07,SEMC_DATA7,XBAR1_XBAR_INOUT7,LPUART3_RX,SAI2_RX_SYNC,FLEXIO1_FLEXIO19,GPIO2_PIN7,ANATOP_USBPHY1_TSTO_RX_SQUELCH,TPSMP_HTRANS1,ANATOP_USBPHY1_TSTO_RX_SQUELCH,TPSMP_HTRANS1,,,,,,,,,,
,EMC_08,SEMC_DM0,XBAR1_XBAR_INOUT8,FLEXCAN2_TX,SAI2_RX_DATA,FLEXIO1_FLEXIO20,GPIO2_PIN8,ANATOP_USBPHY1_TSTO_RX_DISCON_DET,TPSMP_HBURST0,ANATOP_USBPHY1_TSTO_RX_DISCON_DET,TPSMP_HBURST0,,,,,,,,,,
,EMC_09,SEMC_WE,XBAR1_XBAR_INOUT9,FLEXCAN2_RX,SAI2_RX_BCLK,FLEXIO1_FLEXIO21,GPIO2_PIN9,ANATOP_USBPHY1_TSTO_RX_HS_RXD,TPSMP_HPROT0,ANATOP_USBPHY1_TSTO_RX_HS_RXD,TPSMP_HPROT0,,,,,,,,,,
,EMC_10,SEMC_CAS,XBAR1_XBAR_INOUT10,LPI2C4_SDA,SAI1_TX_SYNC,LPSPI2_SCK,GPIO2_PIN10,FLEXPWM2_PWMX0,TPSMP_HWRITE,FLEXPWM2_PWMX0,TPSMP_HWRITE,,,,,,,,,,
,EMC_11,SEMC_RAS,XBAR1_XBAR_INOUT11,LPI2C4_SCL,SAI1_TX_BCLK,LPSPI2_PCS0,GPIO2_PIN11,FLEXPWM2_PWMX1,TPSMP_HBURST1,FLEXPWM2_PWMX1,TPSMP_HBURST1,,,,,,,,,,
,EMC_12,SEMC_CS0,XBAR1_XBAR_INOUT12,LPUART6_TX,SAI1_TX_DATA0,LPSPI2_SDO,GPIO2_PIN12,FLEXPWM2_PWMX2,TPSMP_HPROT1,FLEXPWM2_PWMX2,TPSMP_HPROT1,,,,,,,,,,
,EMC_13,SEMC_BA0,XBAR1_XBAR_INOUT13,LPUART6_RX,SAI1_RX_DATA0,LPSPI2_SDI,GPIO2_PIN13,FLEXPWM2_PWMX3,CCM_PMIC_RDY,FLEXPWM2_PWMX3,CCM_PMIC_RDY,,,,,,,,,,
,EMC_14,SEMC_BA1,XBAR1_XBAR_INOUT14,LPUART6_CTS_B,SAI1_RX_BCLK,LPSPI2_PCS1,GPIO2_PIN14,FLEXCAN1_TX,,FLEXCAN1_TX,,,,,,,,,,,
,EMC_15,SEMC_ADDR10,XBAR1_XBAR_INOUT15,LPUART6_RTS_B,SAI1_RX_SYNC,WDOG1_WDOG_B,GPIO2_PIN15,FLEXCAN1_RX,,FLEXCAN1_RX,,,,,,,,,,,
,EMC_16,SEMC_ADDR0,,MQS_RIGHT,SAI2_MCLK,,GPIO2_PIN16,SRC_BOOT_MODE0,SIM_M_HRESP,SRC_BOOT_MODE0,SIM_M_HRESP,,,,,,,,,,
,EMC_17,SEMC_ADDR1,,MQS_LEFT,SAI3_MCLK,,GPIO2_PIN17,SRC_BOOT_MODE1,SIM_M_HREADYOUT,SRC_BOOT_MODE1,SIM_M_HREADYOUT,,,,,,,,,,
,EMC_18,SEMC_ADDR2,XBAR1_XBAR_INOUT16,LPI2C2_SDA,SAI1_RX_SYNC,FLEXIO1_FLEXIO22,GPIO2_PIN18,SRC_BT_CFG0,TPSMP_CLK,SRC_BT_CFG0,TPSMP_CLK,,,,,,,,,,
,EMC_19,SEMC_ADDR3,XBAR1_XBAR_INOUT17,LPI2C2_SCL,SAI1_RX_BCLK,FLEXIO1_FLEXIO23,GPIO2_PIN19,SRC_BT_CFG1,TPSMP_HDATA_DIR,SRC_BT_CFG1,TPSMP_HDATA_DIR,,,,,,,,,,
,EMC_20,SEMC_ADDR4,FLEXPWM1_PWMA3,LPUART2_CTS_B,SAI1_MCLK,FLEXIO1_FLEXIO24,GPIO2_PIN20,SRC_BT_CFG2,TPSMP_HADDR7,SRC_BT_CFG2,TPSMP_HADDR7,,,,,,,,,,
,EMC_21,SEMC_ADDR5,FLEXPWM1_PWMB3,LPUART2_RTS_B,SAI1_RX_DATA0,FLEXIO1_FLEXIO25,GPIO2_PIN21,SRC_BT_CFG3,TPSMP_HADDR6,SRC_BT_CFG3,TPSMP_HADDR6,,,,,,,,,,
,EMC_22,SEMC_ADDR6,FLEXPWM1_PWMA2,LPUART2_TX,SAI1_TX_DATA3,FLEXIO1_FLEXIO26,GPIO2_PIN22,SRC_BT_CFG4,TPSMP_HADDR5,SRC_BT_CFG4,TPSMP_HADDR5,,,,,,,,,,
,EMC_23,SEMC_ADDR7,FLEXPWM1_PWMB2,LPUART2_RX,SAI1_TX_DATA2,FLEXIO1_FLEXIO27,GPIO2_PIN23,SRC_BT_CFG5,TPSMP_HADDR4,SRC_BT_CFG5,TPSMP_HADDR4,,,,,,,,,,
,EMC_24,SEMC_ADDR8,FLEXPWM1_PWMA1,LPUART8_CTS_B,SAI1_TX_DATA1,FLEXIO1_FLEXIO28,GPIO2_PIN24,SRC_BT_CFG6,TPSMP_HADDR3,SRC_BT_CFG6,TPSMP_HADDR3,,,,,,,,,,
,EMC_25,SEMC_ADDR9,FLEXPWM1_PWMB1,LPUART8_RTS_B,SAI1_TX_DATA0,FLEXIO1_FLEXIO29,GPIO2_PIN25,SRC_BT_CFG7,TPSMP_HADDR2,SRC_BT_CFG7,TPSMP_HADDR2,,,,,,,,,,
,EMC_26,SEMC_ADDR11,FLEXPWM1_PWMA0,LPUART8_TX,SAI1_TX_BCLK,FLEXIO1_FLEXIO30,GPIO2_PIN26,SRC_BT_CFG8,TPSMP_HADDR1,SRC_BT_CFG8,TPSMP_HADDR1,,,,,,,,,,
,EMC_27,SEMC_ADDR12,FLEXPWM1_PWMB0,LPUART8_RX,SAI1_TX_SYNC,FLEXIO1_FLEXIO31,GPIO2_PIN27,SRC_BT_CFG9,TPSMP_HADDR0,SRC_BT_CFG9,TPSMP_HADDR0,,,,,,,,,,
,EMC_28,SEMC_DQS,FLEXPWM2_PWMA3,XBAR1_XBAR_INOUT18,SAI3_MCLK,EWM_EWM_OUT_B,GPIO2_PIN28,GPT2_CAPTURE2,FLEXPWM1_PWMX0,GPT2_CAPTURE2,FLEXPWM1_PWMX0,,,,,,,,,,
,EMC_29,SEMC_CKE,FLEXPWM2_PWMB3,XBAR1_XBAR_INOUT19,SAI3_RX_BCLK,WDOG2_WDOG_RST_B_DEB,GPIO2_PIN29,GPT2_COMPARE2,FLEXPWM1_PWMX1,GPT2_COMPARE2,FLEXPWM1_PWMX1,,,,,,,,,,
,EMC_30,SEMC_CLK,FLEXPWM2_PWMA2,LPUART4_CTS_B,SAI3_RX_SYNC,WDOG1_WDOG_RST_B_DEB,GPIO2_PIN30,GPT2_COMPARE3,FLEXPWM1_PWMX2,GPT2_COMPARE3,FLEXPWM1_PWMX2,,,,,,,,,,
,EMC_31,SEMC_DM1,FLEXPWM2_PWMB2,LPUART4_RTS_B,SAI3_RX_DATA,WDOG2_WDOG_B,GPIO2_PIN31,GPT2_CLK,FLEXPWM1_PWMX3,GPT2_CLK,FLEXPWM1_PWMX3,,,,,,,,,,
,EMC_32,SEMC_DATA8,QTIMER1_TIMER0,LPUART4_TX,SAI3_TX_DATA,LPSPI4_SCK,GPIO3_PIN0,ANATOP_USBPHY1_TSTO_RX_FS_RXD,ANATOP_24M_OUT,ANATOP_USBPHY1_TSTO_RX_FS_RXD,ANATOP_24M_OUT,,,,,,,,,,
,EMC_33,SEMC_DATA9,QTIMER1_TIMER1,LPUART4_RX,SAI3_TX_BCLK,LPSPI4_PCS0,GPIO3_PIN1,ANATOP_USBPHY1_TSTI_TX_DP,SRC_TESTER_ACK,ANATOP_USBPHY1_TSTI_TX_DP,SRC_TESTER_ACK,,,,,,,,,,
,EMC_34,SEMC_DATA10,QTIMER1_TIMER2,LPUART7_TX,SAI3_TX_SYNC,LPSPI4_SDO,GPIO3_PIN2,ENET_CRS,TPSMP_HDATA7,ENET_CRS,TPSMP_HDATA7,,,,,,,,,,
,EMC_35,SEMC_DATA11,QTIMER1_TIMER3,LPUART7_RX,USDHC2_WP,LPSPI4_SDI,GPIO3_PIN3,ENET_COL,TPSMP_HDATA6,ENET_COL,TPSMP_HDATA6,,,,,,,,,,
,EMC_36,SEMC_DATA12,FLEXPWM2_PWMA1,LPUART5_CTS_B,CCM_PMIC_RDY,LPSPI4_PCS1,GPIO3_PIN4,ENET_RX_CLK,USDHC1_WP,ENET_RX_CLK,USDHC1_WP,,,,,,,,,,
,EMC_37,SEMC_DATA13,FLEXPWM2_PWMB1,LPUART5_RTS_B,MQS_RIGHT,LPSPI4_PCS2,GPIO3_PIN5,ENET_RDATA3,USDHC1_VSELECT,ENET_RDATA3,USDHC1_VSELECT,,,,,,,,,,
,EMC_38,SEMC_DATA14,FLEXPWM2_PWMA0,LPUART5_TX,MQS_LEFT,LPSPI4_PCS3,GPIO3_PIN6,ENET_RDATA2,USDHC1_CD_B,ENET_RDATA2,USDHC1_CD_B,,,,,,,,,,
,EMC_39,SEMC_DATA15,FLEXPWM2_PWMB0,LPUART5_RX,USB_OTG1_OC,WDOG1_WDOG_B,GPIO3_PIN7,ENET_TX_ER,GPT1_CLK,ENET_TX_ER,GPT1_CLK,,,,,,,,,,
,EMC_40,SEMC_CSX0,XBAR1_XBAR_INOUT18,SPDIF_OUT,ANATOP_OTG1_ID,ENET_MDIO,GPIO3_PIN8,ENET_TDATA3,GPT1_COMPARE3,ENET_TDATA3,GPT1_COMPARE3,,,,,,,,,,
,EMC_41,SEMC_RDY,XBAR1_XBAR_INOUT19,SPDIF_IN,USB_OTG1_PWR,ENET_MDC,GPIO3_PIN9,ENET_TDATA2,GPT1_COMPARE2,ENET_TDATA2,GPT1_COMPARE2,,,,,,,,,,
,PMIC_ON_REQ,SNVS_LP_PMIC_ON_REQ,,,,,GPIO5_PIN1,,,,,,,,,,,,,,
,PMIC_STBY_REQ,CCM_PMIC_VSTBY_REQ,,,,,GPIO5_PIN2,,,,,,,,,,,,,,
,SD_B0_00,USDHC1_DATA2,QTIMER1_TIMER0,SAI1_MCLK,SAI2_MCLK,LPI2C3_SCL,GPIO3_PIN13,FLEXSPI_BUS2BIT_A_SS1_B,XBAR1_XBAR_INOUT14,FLEXSPI_BUS2BIT_A_SS1_B,XBAR1_XBAR_INOUT14,,,,,,,,,,
,SD_B0_01,USDHC1_DATA3,QTIMER1_TIMER1,ANATOP_24M_OUT,SAI2_RX_SYNC,LPI2C3_SDA,GPIO3_PIN14,FLEXSPI_BUS2BIT_B_SS1_B,XBAR1_XBAR_INOUT15,FLEXSPI_BUS2BIT_B_SS1_B,XBAR1_XBAR_INOUT15,,,,,,,,,,
,SD_B0_02,USDHC1_CMD,QTIMER1_TIMER2,LPUART7_CTS_B,SAI2_RX_BCLK,LPSPI1_SCK,GPIO3_PIN15,ENET_MDIO,XBAR1_XBAR_INOUT16,ENET_MDIO,XBAR1_XBAR_INOUT16,,,,,,,,,,
,SD_B0_03,USDHC1_CLK,QTIMER1_TIMER3,LPUART7_RTS_B,SAI2_RX_DATA,LPSPI1_PCS0,GPIO3_PIN16,ENET_MDC,TPSMP_HADDR15,ENET_MDC,TPSMP_HADDR15,,,,,,,,,,
,SD_B0_04,USDHC1_DATA0,FLEXCAN2_TX,LPUART7_TX,SAI2_TX_DATA,LPSPI1_SDO,GPIO3_PIN17,FLEXSPI_BUS2BIT_B_SS0_B,TPSMP_HADDR14,FLEXSPI_BUS2BIT_B_SS0_B,TPSMP_HADDR14,,,,,,,,,,
,SD_B0_05,USDHC1_DATA1,FLEXCAN2_RX,LPUART7_RX,SAI2_TX_BCLK,LPSPI1_SDI,GPIO3_PIN18,FLEXSPI_BUS2BIT_B_DQS,TPSMP_HADDR13,FLEXSPI_BUS2BIT_B_DQS,TPSMP_HADDR13,,,,,,,,,,
,SD_B0_06,USDHC1_CD_B,USDHC1_RESET_B,ANATOP_32K_OUT,SAI2_TX_SYNC,WDOG1_WDOG_B,GPIO3_PIN19,XBAR1_XBAR_INOUT17,TPSMP_HADDR12,XBAR1_XBAR_INOUT17,TPSMP_HADDR12,,,,,,,,,,
,SD_B1_00,USDHC2_DATA2,FLEXSPI_BUS2BIT_B_DATA3,LPUART6_TX,XBAR1_XBAR_INOUT10,FLEXCAN1_TX,GPIO3_PIN20,CCM_OUT0,TPSMP_HADDR11,CCM_OUT0,TPSMP_HADDR11,,,,,,,,,,
,SD_B1_01,USDHC2_DATA3,FLEXSPI_BUS2BIT_B_SCLK,LPUART6_RX,FLEXSPI_BUS2BIT_A_SS1_B,FLEXCAN1_RX,GPIO3_PIN21,CCM_OUT1,TPSMP_HADDR10,CCM_OUT1,TPSMP_HADDR10,,,,,,,,,,
,SD_B1_02,USDHC2_CMD,FLEXSPI_BUS2BIT_B_DATA0,LPUART8_TX,LPI2C4_SCL,ENET_1588_EVENT1_OUT,GPIO3_PIN22,CCM_CLKO1,TPSMP_HADDR9,CCM_CLKO1,TPSMP_HADDR9,,,,,,,,,,
,SD_B1_03,USDHC2_CLK,FLEXSPI_BUS2BIT_B_DATA2,LPUART8_RX,LPI2C4_SDA,ENET_1588_EVENT1_IN,GPIO3_PIN23,CCM_CLKO2,TPSMP_HADDR8,CCM_CLKO2,TPSMP_HADDR8,,,,,,,,,,
,SD_B1_04,USDHC2_DATA0,FLEXSPI_BUS2BIT_B_DATA1,ENET_TX_CLK,ENET_REF_CLK1,EWM_EWM_OUT_B,GPIO3_PIN24,CCM_WAIT,TPSMP_HDATA15,CCM_WAIT,TPSMP_HDATA15,,,,,,,,,,
,SD_B1_05,USDHC2_DATA1,FLEXSPI_BUS2BIT_A_DQS,ENET_RDATA1,SAI3_MCLK,FLEXSPI_BUS2BIT_B_SS0_B,GPIO3_PIN25,CCM_PMIC_RDY,TPSMP_HDATA14,CCM_PMIC_RDY,TPSMP_HDATA14,,,,,,,,,,
,SD_B1_06,USDHC2_CD_B,FLEXSPI_BUS2BIT_A_DATA3,ENET_RDATA0,SAI3_TX_BCLK,LPSPI2_PCS0,GPIO3_PIN26,CCM_STOP,TPSMP_HDATA13,CCM_STOP,TPSMP_HDATA13,,,,,,,,,,
,SD_B1_07,USDHC2_RESET_B,FLEXSPI_BUS2BIT_A_SCLK,ENET_RX_EN,SAI3_TX_SYNC,LPSPI2_SCK,GPIO3_PIN27,CCM_PLL2_BYP,TPSMP_HDATA12,CCM_PLL2_BYP,TPSMP_HDATA12,,,,,,,,,,
,SD_B1_08,USDHC2_DATA4,FLEXSPI_BUS2BIT_A_DATA0,ENET_RX_ER,SAI3_TX_DATA,LPSPI2_SDO,GPIO3_PIN28,CCM_PLL3_BYP,TPSMP_HDATA11,CCM_PLL3_BYP,TPSMP_HDATA11,,,,,,,,,,
,SD_B1_09,USDHC2_DATA5,FLEXSPI_BUS2BIT_A_DATA2,ENET_TX_EN,SAI3_RX_BCLK,LPSPI2_SDI,GPIO3_PIN29,CCM_REF_EN_B,TPSMP_HDATA10,CCM_REF_EN_B,TPSMP_HDATA10,,,,,,,,,,
,SD_B1_10,USDHC2_DATA6,FLEXSPI_BUS2BIT_A_DATA1,ENET_TDATA0,SAI3_RX_SYNC,LPSPI2_PCS2,GPIO3_PIN30,SRC_SYSTEM_RESET,TPSMP_HDATA9,SRC_SYSTEM_RESET,TPSMP_HDATA9,,,,,,,,,,
